,ID,score
1,1,0.002163257
2,2,0.066667124
3,3,0.003272959
4,4,0.018524568
5,5,0.129734389
6,6,0.01544772
7,7,0.933616318
8,8,0.126849098
9,9,0.997676604
10,10,0.036329643
11,11,0.018194366
12,12,0.441331971
13,13,0.417253276
14,14,0.000927091
15,15,0.957645599
16,16,0.44090747
17,17,0.316024532
18,18,0.067666226
19,19,0.779673407
20,20,0.762673662
21,21,0.917194597
22,22,0.007024731
23,23,0.000312001
24,24,0.864077151
25,25,0.006646591
26,26,0.578168984
27,27,0.993598835
28,28,0.051989044
29,29,0.068308927
30,30,0.022082406
31,31,0.55575877
32,32,0.233345324
33,33,0.830645557
34,34,0.039533226
35,35,0.993922795
36,36,8.02E-05
37,37,0.861066728
38,38,0.01121077
39,39,0.227361305
40,40,0.007326382
41,41,0.005394182
42,42,0.839148723
43,43,0.876880818
44,44,0.55575877
45,45,0.020357555
46,46,0.019394289
47,47,0.956238571
48,48,0.732184227
49,49,0.000513792
50,50,0.068183267
51,51,0.908952114
52,52,0.024730821
53,53,0.018079691
54,54,0.021919383
55,55,0.152998132
56,56,0.039019046
57,57,0.736352723
58,58,0.302908678
59,59,0.914268582
60,60,0.923666616
61,61,0.003211567
62,62,0.058851958
63,63,0.647000988
64,64,0.928657863
65,65,0.021580476
66,66,0.020846112
67,67,0.004391292
68,68,0.051393173
69,69,0.256678669
70,70,0.052091991
71,71,0.269762561
72,72,0.985335127
73,73,0.026855479
74,74,0.036329643
75,75,0.172611121
76,76,0.080828584
77,77,0.4874108
78,78,0.012512898
79,79,0.001072437
80,80,0.000837415
81,81,2.71E-05
82,82,0.98976048
83,83,0.040695193
84,84,0.639752378
85,85,0.003151992
86,86,0.01419601
87,87,0.112288765
88,88,0.104496285
89,89,0.009781583
90,90,0.001157416
91,91,0.005662139
92,92,0.001927091
93,93,0.157306368
94,94,0.003884073
95,95,0.20389449
96,96,0.254546429
97,97,0.113537951
98,98,0.018219604
99,99,0.020325666
100,100,0.017152051
101,101,0.01058149
102,102,0.8680106
103,103,0.006450615
104,104,0.717712661
105,105,0.044162677
106,106,0.413914748
107,107,0.196172319
108,108,0.109584866
109,109,0.002323581
110,110,0.923339031
111,111,0.000127643
112,112,0.002072122
113,113,0.026855479
114,114,0.099855664
115,115,0.157530262
116,116,0.970126083
117,117,0.057007982
118,118,0.590548495
119,119,0.979990469
120,120,0.799749067
121,121,0.927546274
122,122,0.448394558
123,123,0.188846471
124,124,0.033163209
125,125,0.980111612
126,126,0.014772293
127,127,0.047463068
128,128,0.035798139
129,129,0.008216216
130,130,0.069224194
131,131,0.026855479
132,132,0.986645657
133,133,0.165153082
134,134,0.024396651
135,135,0.014961312
136,136,0.723223468
137,137,0.011158548
138,138,0.8942945
139,139,0.815934467
140,140,0.246372669
141,141,0.021126068
142,142,0.993598835
143,143,0.043386075
144,144,0.002179768
145,145,0.045806952
146,146,0.960671422
147,147,0.804984501
148,148,0.188846471
149,149,0.97857316
150,150,0.125497619
151,151,0.947578233
152,152,0.001396341
153,153,0.211951228
154,154,6.46E-05
155,155,0.039001368
156,156,0.049447089
157,157,0.001150025
158,158,0.049140816
159,159,0.104067311
160,160,0.860445269
161,161,0.055000361
162,162,0.115891628
163,163,0.524563278
164,164,0.034343374
165,165,0.002300467
166,166,0.025870163
167,167,0.002323581
168,168,0.974439948
169,169,0.007847816
170,170,0.047797319
171,171,0.930546386
172,172,0.870860406
173,173,0.518212484
174,174,0.119542235
175,175,0.000554055
176,176,0.969468499
177,177,0.64539505
178,178,0.002300467
179,179,0.042487386
180,180,0.446104971
181,181,0.211365256
182,182,0.550680842
183,183,0.920387275
184,184,0.02463321
185,185,0.43765724
186,186,0.861557479
187,187,0.086718757
188,188,0.97761445
189,189,0.984405195
190,190,0.262457874
191,191,0.00469046
192,192,0.031712276
193,193,0.987980003
194,194,0.913261047
195,195,0.964704498
196,196,0.917402289
197,197,0.051676431
198,198,0.384059529
199,199,0.002503153
200,200,0.008000255
201,201,0.004462294
202,202,0.041902523
203,203,0.01461939
204,204,0.066478512
205,205,0.158422749
206,206,0.001426829
207,207,0.020325666
208,208,0.967923614
209,209,0.112942273
210,210,0.004875711
211,211,0.000561744
212,212,0.040916276
213,213,0.009524223
214,214,0.006503629
215,215,0.437937858
216,216,0.997676604
217,217,0.008335029
218,218,0.008525138
219,219,0.879569515
220,220,0.018567619
221,221,0.239470533
222,222,0.010462442
223,223,0.235405121
224,224,0.596372686
225,225,0.00429999
226,226,0.910072015
227,227,0.916395352
228,228,0.006195686
229,229,0.435662006
230,230,0.01724557
231,231,0.889967575
232,232,0.247329785
233,233,0.618786061
234,234,0.060816673
235,235,0.892892064
236,236,0.994235961
237,237,0.104975401
238,238,0.188846471
239,239,0.250528948
240,240,0.008100225
241,241,0.15733051
242,242,0.151650983
243,243,0.133203475
244,244,0.009295937
245,245,0.003697047
246,246,0.001050843
247,247,0.234918997
248,248,0.351894054
249,249,0.908952114
250,250,0.279582067
251,251,0.193842199
252,252,0.152462425
253,253,0.017062997
254,254,0.86030666
255,255,0.422401799
256,256,0.007187814
257,257,0.275855888
258,258,0.07959888
259,259,0.408541107
260,260,0.480048107
261,261,0.795177639
262,262,0.427243953
263,263,0.972532626
264,264,0.924612339
265,265,0.16581851
266,266,0.056584467
267,267,0.158422749
268,268,0.046291691
269,269,0.00703979
270,270,0.081032212
271,271,0.017736892
272,272,0.290218243
273,273,0.942103173
274,274,0.664717528
275,275,0.104174674
276,276,0.022082406
277,277,0.746219213
278,278,0.001340819
279,279,0.605739038
280,280,0.699997415
281,281,0.01752834
